sector,ticker,same_day_r,same_day_p,lag1_r,lag1_p,n_obs
All_Sectors,SPY,-0.0416,0.5145,-0.0954,0.135,248
Communication_Services,XLC,0.0142,0.8241,-0.0678,0.2887,248
Consumer_Discretionary,XLY,-0.0399,0.5314,-0.072,0.2599,248
Consumer_Staples,XLP,-0.0165,0.7958,-0.1307,0.0401,248
Energy,XLE,-0.0732,0.2507,-0.0946,0.1383,248
Financials,XLF,-0.0529,0.4071,-0.0881,0.1675,248
Gold_Index_Fund,GLD,0.0029,0.964,0.0133,0.8351,248
Healthcare,XLV,-0.041,0.5205,-0.0882,0.1668,248
Industrials,XLI,-0.0842,0.1861,-0.0989,0.1209,248
Materials,XLB,-0.0834,0.1907,-0.0825,0.1965,248
Real_Estate,XLRE,-0.0126,0.844,-0.088,0.1682,248
Technology,XLK,-0.0279,0.662,-0.0876,0.1699,248
United_States_Oil_Fund,USO,-0.0487,0.4449,-0.0262,0.682,248
Utilities,XLU,0.0139,0.8275,-0.0947,0.1377,248
